NAME,housesholds_with_internet_access,high_school_or_ged,bachelors_plus,male,household_income,white,black,amerindian,asian,native_hawaiian,two_or_more_races,state,state_code
Alabama,0.8204571454395546,0.304999731970474,0.2666893783853374,0.4861666675003877,54943,0.6680286333144912,0.2649698109620974,0.004334215410165727,0.014038728008523963,3.405583596372313e-4,0.031077451014721844,AL,01
Alaska,0.8840463461531081,0.28463691879549613,0.30593828837570347,0.5227915988972092,80287,0.6230306093748089,0.032231765430035426,0.14611162971447827,0.0641523688397733,0.014628691312329217,0.10047679804769612,AK,02
Arizona,0.8818430165634641,0.23486985724353074,0.31206465266014843,0.4991939064326874,65913,0.7042782923444914,0.045037132004831615,0.042499416954140175,0.03312449155646476,0.001974657316649911,0.10382821343024067,AZ,04
Arkansas,0.7973387082851372,0.3407388351003567,0.24304726189710532,0.49346890156667195,52123,0.740782135169738,0.15237488894188855,0.0058074535917631885,0.015430216920482891,0.00353489943981141,0.05292303618822949,AR,05
California,0.9041194814242177,0.20439376394508801,0.3527041575814072,0.4996544828784069,84097,0.5209364620308935,0.056602154845756925,0.009139621688342264,0.1492166601576217,0.003758121236426398,0.10734201262880604,CA,06
Colorado,0.9091938174055582,0.20598622315241907,0.42828343120720136,0.5060015627686445,80184,0.7875780860137798,0.04089774628632773,0.009285578496974407,0.03204357161128716,0.0014313730697780394,0.08353229046249845,CO,08
Connecticut,0.8889556037110935,0.2611980977576967,0.40553099095595985,0.49062360449667575,83572,0.7200128698343841,0.1079762462798135,0.0024169770867021882,0.046405738170985734,3.5003730587768666e-4,0.0630363933398607,CT,09
Delaware,0.8925680338601458,0.3039712257717001,0.3364725506720068,0.4860198473966587,72724,0.6573115984242667,0.21972375780635753,0.003120506124909868,0.040415850215706005,3.900632656137335e-4,0.0504250976685827,DE,10
District of Columbia,0.871759151768439,0.1549271517204332,0.6140107355359362,0.4764518688319178,93547,0.4045544635616567,0.4466181856506732,0.002904176803473302,0.04096880059254575,5.25503766354292e-4,0.05687882966358976,DC,11
Florida,0.8723977679217203,0.2790310822194382,0.31532116469230825,0.49154943714929905,61777,0.6770936339402474,0.1573808086519428,0.00255232462292691,0.027969477822667375,6.122373810916917e-4,0.09380259255000126,FL,12
Georgia,0.8622782740695805,0.2721010715876637,0.33002720801553903,0.4885944013593566,65030,0.5585494110223267,0.3153608520542105,0.003287150908441535,0.04217929973935626,6.488095042028155e-4,0.048458653922620006,GA,13
Hawaii,0.8867526593131876,0.2684467798616651,0.34340498342842474,0.5037309992858607,88005,0.23687339095065835,0.019361567748975232,0.0029487484674901514,0.37471190190836173,0.105596980525601,0.2442480141011546,HI,15
Idaho,0.8804354277348535,0.2653744482984685,0.29132878331619133,0.5037096693175213,63377,0.8654141576282404,0.006757498963633041,0.012584889631748874,0.013587861010357047,0.0016648110500177467,0.057026402379752456,ID,16
Illinois,0.8691978406796403,0.2539889317341325,0.3616215764783035,0.493859643718092,72563,0.6784854060810277,0.14069874517745656,0.003331354154049821,0.05658185780747231,3.986175745972898e-4,0.058423875001140636,IL,17
Indiana,0.8521761411667272,0.33013204882060704,0.27843577310476686,0.49536240213054,61944,0.8121789155930527,0.09406665935947531,0.0016884055609701185,0.02424066925973214,3.3711826096745237e-4,0.04265123664339227,IN,18
Iowa,0.8488619343471592,0.3060889180728757,0.2970539897466088,0.5001434372729303,65429,0.8792827507242639,0.03744341934327119,0.0034251940020571924,0.024909014843870415,0.0013154707793739718,0.038930951939076905,IA,19
Kansas,0.8650996983517264,0.25668656484998836,0.3440436306648817,0.5007170631005297,64521,0.8140127601421371,0.05637292601648171,0.007386176251211163,0.029994212337305117,7.489515190312469e-4,0.06120393615631669,KS,20
Kentucky,0.8363488182559087,0.3276522123001188,0.257099572827031,0.49481825336588237,55454,0.8549760677290721,0.08048323361461067,0.0015829498896452068,0.015294802722032977,8.813697656571078e-4,0.03535225085283261,KY,21
Louisiana,0.8115278425882719,0.330648354821777,0.2553031330422116,0.49031811315771673,53571,0.6024675214528574,0.319069075355812,0.005486005318526487,0.01727136187129681,4.6636413118745715e-4,0.03814244504064045,LA,22
Maine,0.8602450863651009,0.30895768418936576,0.3361644386370489,0.4924726206775599,63182,0.9292956907871951,0.014387868944752058,0.005584188008365229,0.010992258184320943,1.6801199075049778e-4,0.034561098149952174,ME,23
Maryland,0.8973834814559751,0.23917496601462698,0.4156017916451986,0.487130857788306,91431,0.5267377891842704,0.2982798369370314,0.0028081440405819586,0.06458227109015223,4.762102253459965e-4,0.05395992059910109,MD,24
Massachusetts,0.8957497067543752,0.23192241765431987,0.45205153391851466,0.48816450920299803,89026,0.7453967847145506,0.07314142232987769,0.002136629894339869,0.06878635302921171,3.4411483538267115e-4,0.06460090974465707,MA,25
Michigan,0.8643138619704788,0.28473803475074577,0.3061709642398845,0.4952366764879386,63202,0.7667360794203276,0.135967738473256,0.004806056380355124,0.03202162640899211,2.8968909552604756e-4,0.04604903825207861,MI,26
Minnesota,0.8860203669642457,0.2388812894395609,0.3756885313350146,0.5006875970818655,77706,0.8071211708654941,0.06638001210481244,0.00929287720669461,0.04997502853377991,4.123113560916975e-4,0.04565440055078308,MN,27
Mississippi,0.7800102825908521,0.2979664202258745,0.232473956552463,0.4867690611094016,49111,0.5736352566191769,0.37526301616131724,0.00450181882648028,0.009805114419402882,3.805160930670238e-4,0.02358896442663235,MS,28
Missouri,0.8509691969698651,0.30483671811030993,0.30688981543853733,0.4929942584377128,61043,0.8028069208767712,0.11327430573534235,0.003240884117876739,0.020093676921759288,0.0013788086168699872,0.04551436172135496,MO,29
