catt,Level,Time,ATT,MSPE,keyword,start_date,end_date,treatment,verification_method,force,estimator,path,rn
35.981723093831675,Average,3,8.995430773457919,94.32433374267087,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,none,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_none_estimator_mc.rds,82
27.281062323689735,Average,1,13.640531161844867,24.601947109630235,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,time,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_time_estimator_ife.rds,83
38.63228813085859,Average,3,9.658072032714648,24.601947109630235,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,time,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_time_estimator_ife.rds,83
21.938021061196824,Average,1,10.969010530598412,74.51284144100411,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,time,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_time_estimator_mc.rds,84
32.56494096971862,Average,3,8.141235242429655,74.51284144100411,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,time,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_time_estimator_mc.rds,84
27.136181347502983,Average,1,13.568090673751492,25.38501745451137,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,two-way,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_two-way_estimator_ife.rds,85
38.00950565377066,Average,3,9.502376413442663,25.38501745451137,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,two-way,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_two-way_estimator_ife.rds,85
23.49772121401584,Average,1,11.74886060700792,63.57635342353375,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,two-way,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_two-way_estimator_mc.rds,86
33.25562438237528,Average,3,8.31390609559382,63.57635342353375,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,two-way,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_two-way_estimator_mc.rds,86
27.86563651733978,Average,1,13.93281825866989,23.20870126456832,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,unit,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_unit_estimator_ife.rds,87
