date,hits,keyword,geo,time,gprop,category,term,state,time_span
2023-01-01T00:00:00Z,86,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-01-08T00:00:00Z,83,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-01-15T00:00:00Z,81,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-01-22T00:00:00Z,92,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-01-29T00:00:00Z,90,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-02-05T00:00:00Z,100,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-02-12T00:00:00Z,85,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-02-19T00:00:00Z,97,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-02-26T00:00:00Z,84,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-03-05T00:00:00Z,76,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-03-12T00:00:00Z,87,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-03-19T00:00:00Z,82,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-03-26T00:00:00Z,97,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-04-02T00:00:00Z,81,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-04-09T00:00:00Z,83,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-04-16T00:00:00Z,90,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-04-23T00:00:00Z,84,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-04-30T00:00:00Z,75,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-05-07T00:00:00Z,70,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-05-14T00:00:00Z,80,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-05-21T00:00:00Z,67,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-05-28T00:00:00Z,70,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-06-04T00:00:00Z,71,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-06-11T00:00:00Z,61,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-06-18T00:00:00Z,77,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-06-25T00:00:00Z,66,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-07-02T00:00:00Z,88,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-07-09T00:00:00Z,70,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-07-16T00:00:00Z,79,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-07-23T00:00:00Z,58,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-07-30T00:00:00Z,77,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-08-06T00:00:00Z,73,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-08-13T00:00:00Z,67,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-08-20T00:00:00Z,68,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-08-27T00:00:00Z,80,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-09-03T00:00:00Z,87,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-09-10T00:00:00Z,96,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-09-17T00:00:00Z,87,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
2023-09-24T00:00:00Z,79,vpn,US-MN,2023-01-01 2023-10-01,web,0,vpn,MN,2023-01-01 2023-10-01
